Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-dk-core-kombit-org-identifier.json	1345	1	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	1	0	0	70	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-dk-core-municipalityCodes.json	1694	2	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	72	69	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-dk-core-observation.json	12765	2	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	3	0	0	1004	711	0	0	0	28	0	1
fsh-generated/resources/StructureDefinition-dk-core-organization.json	5833	1	1	0	0	0	0	27	0	25	0	0	0	0	0	0	0	1	0	0	307	245	0	0	1	9	0	1
fsh-generated/resources/StructureDefinition-dk-core-patient.json	6444	2	0	0	0	0	0	29	0	24	0	0	0	0	0	0	0	1	0	0	383	326	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-dk-core-practitioner.json	2247	1	0	0	0	0	0	8	0	12	0	0	0	0	0	0	0	1	0	0	165	190	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-dk-core-producent-id.json	966	2	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	67	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-dk-core-related-person.json	3606	1	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	1	0	0	201	162	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-dk-core-sor-identifier.json	1538	1	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	69	73	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-dk-core-x-ecpr-identifier.json	1829	2	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	69	69	0	0	0	2	0	0
fsh-generated/resources/ValueSet-DkCoreDeCPRValueSet.json	420	1	0	0	0	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	8	2988	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DkCoreProfessionGroupValueSet.json	460	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	74	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-IEEEBasicObservation.json	15201	2	1	0	0	0	0	0	2	161	0	0	0	0	0	0	0	0	0	0	37	206	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dk-core-LoincBasicObservation.json	2032	1	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	14	137	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-MunicipalityCodes.json	559	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	180	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dk-core-NPUBasicObservation.json	1997	1	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	13	427	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-RegionalSubDivisionCodes.json	503	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-RelatedPersonRelationshipTypes.json	3248	1	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	20	69	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dk-core-SCTBasicObservation.json	2649	1	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	21	376	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-TechniquesSCTCodes.json	834	1	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	10	111	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dk-core-UCUM-BasicUnits.json	1682	2	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	1	0	0	10	124	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dk-marital-status.json	1504	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sor-organization-type.json	19060	2	1	0	0	0	0	0	1	342	0	0	0	0	0	0	0	0	0	0	59	318	0	0	0	2	0	0
